policy_id,customer_name,age,gender,policy_type,premium,coverage_amount,start_date,end_date,is_active,risk_score,claim_history,annual_income,zip_code,agent_id
POL-000074,Angie Harrison,45,U,Health,1878.14,760072.19,2020/07/15,2026/02/03,TRUE,85,1,181076.46,28379,AGT-099
POL-000075,Samantha Sandoval,64,U,Life,3307.53,500119.34,2019/12/05,2027/03/08,FALSE,61,1,24357.09,55738,AGT-038
POL-000076,Megan Kemp,77,F,Home,2871.69,104952.23,2022/09/04,2026/05/27,TRUE,22,0,82748.44,52930,AGT-011
POL-000077,David Garcia,24,F,Home,2417.38,959900.31,2020/03/16,2027/03/01,TRUE,35,1,149924.08,03119,AGT-030
POL-000078,Emily Bowman,61,F,Home,1088.2,945588.1,2023/07/30,2024/11/30,TRUE,16,1,34416.11,45129,AGT-013
POL-000079,Elizabeth Jenkins,78,F,Health,4489.72,795930.07,2021/04/09,2026/11/01,TRUE,50,2,52970.51,09520,AGT-049
POL-000080,James Peters,25,F,Life,2524.03,991761.51,2024/09/15,2028/11/22,TRUE,43,1,126071.43,51141,AGT-036
POL-000081,Natalie Griffin,64,F,Auto,1375.8,567258.22,2024/06/05,2028/02/21,TRUE,17,1,120798.86,34553,AGT-059
POL-000082,Meagan Booth,52,F,Health,2154.92,964629.93,2024/04/29,2028/09/24,TRUE,80,0,153007.09,24458,AGT-082
POL-000083,ELIZABETH WEAVER,31,U,Health,2363.58,121824.79,2024/01/08,2025/01/19,TRUE,58,2,166270.28,37899,AGT-047
POL-000084,Whitney Luna,34,U,Life,4223.92,397396.71,2021/01/27,2028/03/18,FALSE,2,0,43144.32,39599,AGT-021
POL-000085,Robert Perry,53,U,Life,3801.26,264112.2,2023/01/07,2028/06/18,TRUE,4,1,23308.58,94768,AGT-048
POL-000086,James Brown,67,U,Health,3961.87,236041.43,2020/05/30,2024/12/05,TRUE,85,0,144134.93,15599,AGT-046
POL-000087,Cody Miller,57,F,Auto,549.64,183762.8,2024/08/11,2025/01/23,TRUE,39,1,74250.52,76333,AGT-027
POL-000088,Steven Haynes,21,M,Health,2372.69,641292.96,2024/04/13,2026/05/20,TRUE,98,1,132677.1,52462,AGT-086
POL-000089,Julie Reed,19,F,Life,2666.05,792255.76,2022/06/20,2026/03/09,TRUE,94,2,47098.03,37639,AGT-035
POL-000090,Amy Sims,79,M,Auto,586.37,599383.48,2022/03/14,2025/05/05,TRUE,6,1,104427.21,83241,AGT-090
POL-000091,Jennifer Harvey,23,U,Life,1669.16,189614.57,2021/07/11,2026/05/12,TRUE,81,2,110796.45,65370,AGT-088
POL-000092,Danielle Ross,71,F,Auto,3921.3,820567.58,2021/01/24,2025/07/17,TRUE,89,1,125314.01,43441,AGT-083
POL-000093,Nancy Miller,59,U,Home,1116.99,654156.97,2024/02/13,2026/06/12,TRUE,69,1,112370.6,83234,AGT-010
POL-000094,Dakota Jordan,21,F,Life,2908.9,418757.42,2020/04/14,2025/05/07,TRUE,69,0,109224.34,23040,AGT-078
POL-000095,Penny House,71,,Life,1468.41,690423.78,2020/06/25,2026/06/28,FALSE,20,1,79892.15,07749,AGT-082
POL-000096,Jeffrey Griffith,46,M,Health,554.54,296909.73,2023/03/16,2026/07/05,TRUE,64,1,32812.44,63191,AGT-022
POL-000097,Eric Walton,35,M,Life,1585.41,377932.6,2022/10/25,2028/02/28,TRUE,16,1,36113.64,96365,AGT-069
POL-000098,Amber Cummings,43,M,Life,4891.43,921611.55,2022/01/12,2025/08/19,TRUE,51,0,98080.09,17778,AGT-094
POL-000099,Mary Clark,61,F,Home,4106.92,325979.28,2020/03/31,2024/11/03,TRUE,37,3,84042.76,46770,AGT-032
POL-000100,Whitney Armstrong,51,M,Life,4818.09,496488.85,2022/09/18,2025/07/30,TRUE,73,0,112904.26,23841,AGT-021
POL-000101,Tracy Jennings,27,F,Home,2695.34,895634.08,2020/09/07,2024/10/10,TRUE,69,2,74870.87,71369,AGT-060
POL-000102,Jenna White,79,M,Home,993.81,722335.28,2022/04/10,2025/02/13,TRUE,42,5,143823.82,17934,AGT-049
POL-000103,Dylan Burns,53,M,Home,2965.82,109093.06,2024/05/15,2026/04/29,TRUE,57,0,175511.87,76315,AGT-035
POL-000104,Connie Jackson,31,F,Home,2544.7,189937.89,2021/03/13,2027/04/01,TRUE,66,1,73795.37,52647,AGT-082
POL-000105,Patricia Hughes,48,F,Auto,4299.61,57449.51,2024/09/17,2026/05/21,TRUE,9,1,54737.12,05648,AGT-089
POL-000106,Joyce Rhodes,65,M,Health,941.37,649375.7,2024/07/18,2025/01/09,TRUE,100,1,40912.5,70657,AGT-072
POL-000107,David Galvan,32,F,Auto,2697.09,475289.75,2021/12/31,2025/06/10,TRUE,86,0,130925.73,63673,AGT-029
POL-000108,John Wright,25,M,Life,1175.22,177561.11,2024/01/09,2026/09/16,TRUE,64,0,99894.08,25168,AGT-088
POL-000109,Anthony Lopez,31,F,Auto,1961.04,960037.42,2021/08/02,2028/12/17,TRUE,86,2,53842.83,02112,AGT-042
POL-000110,Lori Neal,40,U,Auto,3818.11,553176.74,2023/02/23,2028/08/29,TRUE,22,2,137564.61,69556,AGT-099
POL-000111,Brenda Cole,77,U,Life,2642.08,279798.63,2019/11/19,2028/03/18,TRUE,34,0,46726.97,08879,AGT-100
POL-000112,Karen Smith,74,U,Life,2191.5,525573.39,2023/06/15,2028/02/23,TRUE,55,1,119774.13,55408,AGT-008
POL-000113,Mrs. Lindsay Olson,79,U,Life,2275.14,695639.32,2019/12/25,2027/04/20,TRUE,29,1,114886.71,59336,AGT-030
POL-000114,Tammy Chandler,57,U,Auto,2567.51,122427.26,2023/09/14,2029/06/21,TRUE,38,1,152161,08187,AGT-005
POL-000115,Andrea Strong,38,M,Auto,4032.57,310968.62,2024/10/03,2029/07/08,FALSE,97,1,29919.74,46927,AGT-041
POL-000116,Danielle Sharp,33,U,Life,4514.38,816617.22,2021/02/03,2027/11/15,TRUE,18,0,179817.13,42363,AGT-052
POL-000117,Connie Whitehead,62,U,Health,4799.01,486681.63,2024/01/25,2027/09/25,TRUE,71,1,146538.51,17878,AGT-035
POL-000118,Katherine Landry,35,U,Health,4041.07,569248.28,2024/09/24,2028/04/11,TRUE,65,0,58902.68,90926,AGT-009
POL-000119,Jennifer Chapman,64,U,Home,1919.33,461175.2,2020/10/17,2027/01/31,FALSE,97,1,53012.96,59962,AGT-028
POL-000120,April Thompson,70,F,Life,3596.61,91704.95,2021/09/17,2026/04/16,TRUE,1,2,97698.84,36708,AGT-073
POL-000121,Kristina Friedman,41,M,Home,2469.21,207462.29,2023/01/23,2027/06/07,TRUE,88,0,167161.76,INVALID,AGT-092
POL-000122,Corey Evans,43,U,Health,1646.02,473264.56,2020/04/18,2027/05/10,TRUE,4,2,171731,45524,AGT-041
POL-000123,DEBORAH HART,42,,Home,4283.92,248726.19,2023/04/29,2029/02/02,TRUE,4,1,113682.1,50132,AGT-028
POL-000124,Stephanie Stevenson,77,U,Life,672.92,97480.08,2021/11/04,2025/06/23,TRUE,82,1,174945.96,40217,AGT-084
POL-000125,Sarah Wang,77,M,Life,4557.93,851467.18,2022/07/05,2028/08/08,TRUE,27,2,20979.87,43223,AGT-064
POL-000126,JODI THOMAS,77,F,Life,2576.65,982132.9,2020/05/07,2024/11/21,TRUE,43,0,26331.43,70373,AGT-051
POL-000127,Kenneth Johnson,62,M,Auto,3367.41,803485.73,2021/11/20,2026/06/30,TRUE,59,2,184127.89,11883,AGT-083
POL-000128,Scott Jordan,58,F,Home,3467.09,861095.68,2019/12/25,2028/03/24,TRUE,32,0,159559.75,81367,AGT-059
POL-000129,Kimberly Garcia,46,U,Health,,279878.27,2021/11/16,2027/05/18,TRUE,33,1,101127.09,31368,AGT-019
POL-000130,Brian Walter,32,U,Health,3365.01,962595.63,2022/01/06,2025/05/22,TRUE,28,1,155649.82,84649,AGT-034
POL-000131,Robert Jones,62,M,Health,3262.7,237079.42,2024/05/20,2026/04/13,TRUE,55,0,192015.1,80917,AGT-018
POL-000132,Jessica Ramsey,18,M,Auto,799.93,953858.32,2023/10/01,2025/06/04,TRUE,100,2,158976.11,05142,AGT-032
POL-000133,Keith Parker,42,F,Auto,2832.84,995078.33,2021/09/07,2025/01/12,FALSE,60,2,171626.84,86177,AGT-096
POL-000134,Joshua Jimenez,24,F,Life,1175.76,726136.67,2021/04/08,2028/01/11,TRUE,70,1,156909.18,68347,AGT-072
POL-000135,Robert Hoffman,26,M,Health,3818.45,982086.55,2023/10/11,2027/05/01,TRUE,62,2,50278,26965,AGT-069
POL-000136,David Bauer,41,F,Auto,2805,591062.79,2024/03/07,2029/01/13,TRUE,80,1,170043.34,22302,AGT-034
POL-000137,Rachel Miller,18,M,Life,,296564.69,2020/10/07,2027/04/25,TRUE,34,2,55119.59,98405,AGT-096
POL-000138,Blake Hines,61,F,Health,687.53,465146.09,2024/05/23,2025/04/07,TRUE,87,3,180670.04,42627,AGT-075
POL-000139,Carol Sims,25,M,Home,881.56,613882.89,2024/02/28,2029/07/01,TRUE,88,1,102556.98,58438,AGT-055
POL-000140,Anna Butler,41,M,Life,3723.46,119427.48,2021/11/09,2029/10/07,TRUE,56,2,141855.82,37942,AGT-075
POL-000141,Savannah Jones,28,M,Auto,824.38,641226.1,2022/10/29,2027/04/29,TRUE,13,1,109503.35,17943,AGT-052
POL-000142,Kelly Matthews,68,F,Auto,820.66,982118.94,2022/08/04,2025/09/03,TRUE,56,0,36918.37,56435,AGT-047
POL-000143,Patrick Sanchez,34,F,Life,554.49,230602.27,2024/01/19,2025/03/15,TRUE,18,1,72330.02,41511,AGT-029
POL-000144,Shannon Hernandez,25,F,Life,4804.26,802965.36,2023/08/05,2027/03/07,TRUE,54,0,197071.73,47528,AGT-018
POL-000145,Carlos Guerrero,52,M,Auto,,912503.85,2021/12/15,2029/08/14,FALSE,77,0,192928.66,08874,AGT-066
POL-000146,Clarence Salazar,52,F,Home,2089.63,946516.51,2020/05/13,2026/01/20,TRUE,43,2,77687.64,62565,AGT-064
POL-000147,Rachel Thomas,50,F,Health,1834.41,962128.82,2022/02/03,2026/11/28,FALSE,39,1,199333.42,61069,AGT-012
POL-000148,CYNTHIA CARRILLO,76,M,Home,2073.66,545386.66,2024/02/01,2029/05/27,TRUE,61,2,172199.22,98135,AGT-097
POL-000149,Roger Stevens,22,U,Life,3985.94,978442.51,2022/03/08,2025/08/15,FALSE,42,0,129972.71,66409,AGT-007
POL-000150,Amanda Crawford,59,M,Home,3476.17,769444.7,2020/01/04,2026/03/06,TRUE,81,0,27222.43,17487,AGT-015
POL-000151,Emily Zuniga,56,F,Auto,1333.38,203587.86,2024/07/16,2025/01/07,TRUE,79,0,182260.43,INVALID,AGT-020
POL-000152,Allen Burke,75,M,Life,1283.49,503055.1,2021/03/27,2026/07/23,TRUE,18,3,120337.27,31123,AGT-081
POL-000153,Bryan Zimmerman,58,U,Health,942.78,732414.62,2024/07/26,2025/10/14,TRUE,23,2,176325.71,05334,AGT-021
POL-000154,Julie Howard,45,M,Auto,3471.36,284973.3,2021/07/18,2026/03/21,TRUE,54,2,170197.24,91928,AGT-088
POL-000155,Robin Hernandez,24,F,Auto,3939.68,658584.42,2024/09/10,2028/09/30,TRUE,30,4,169941.12,32579,AGT-055
POL-000156,Elizabeth Grant,26,U,Health,1692.71,683270.46,2020/03/09,2026/10/12,TRUE,98,1,145671.29,65086,AGT-077
POL-000157,Richard Kirby,25,F,Health,594.25,204564.76,2021/08/17,2029/09/22,TRUE,58,0,72454.72,91477,AGT-009
POL-000158,Jerry Nguyen,29,U,Home,869.77,586831.05,2022/09/05,2028/07/01,TRUE,68,0,80508.85,64782,AGT-050
POL-000159,Karen White,51,U,Life,4855.37,783045.57,2020/01/29,2029/09/05,TRUE,67,1,75524.46,50473,AGT-049
POL-000160,Charles Bush,50,M,Health,1829.5,523950.88,2022/04/18,2029/06/19,TRUE,71,0,23608.28,71830,AGT-077
POL-000161,Katherine Brown,65,M,Health,3961.5,61497.96,2021/04/05,2028/04/12,TRUE,18,0,124862.4,87180,AGT-060
POL-000162,Dominique Mckinney,72,F,Life,3310.99,58586.55,2020/07/28,2025/11/09,TRUE,7,3,145790.06,90304,AGT-068
POL-000163,Candace Rodriguez,40,M,Health,2218.73,389177.88,2024/09/25,2025/07/27,TRUE,40,2,173695.88,08213,AGT-033
POL-000164,Angelica Edwards,79,M,Health,1425.59,929884.37,2021/07/19,2029/05/26,TRUE,70,1,45229.78,98543,AGT-071
POL-000165,Kathleen Stewart,41,U,Home,1046.24,267242.94,2020/01/30,2028/01/22,TRUE,86,1,117952.97,72596,AGT-002
POL-000166,Aaron Hines,54,M,Auto,3267.56,652645.5,2020/12/28,2026/07/18,TRUE,65,1,21441.47,88417,AGT-088
POL-000167,David Martinez,52,U,Auto,3985.85,260972.08,2023/09/02,2026/03/27,TRUE,68,0,37116.86,80082,AGT-093
POL-000168,Shawn Harrell,61,U,Auto,3397.57,355586.49,2023/08/03,2025/11/01,TRUE,49,0,29758.11,47329,AGT-015
POL-000169,Wendy Morris,57,U,Auto,2886.36,855639.99,2020/04/17,2026/01/12,TRUE,52,1,150586.05,49587,AGT-088
POL-000170,Peggy Swanson,39,F,Health,688.78,742418.37,2020/09/25,2025/10/18,TRUE,29,2,34590.72,57080,AGT-069
POL-000171,Katherine Herrera,44,F,Life,4858.2,140629.31,2022/01/15,2028/05/23,TRUE,21,1,148961.54,INVALID,AGT-097
POL-000172,Jose Moore,52,F,Life,4094.21,457266.92,2022/04/21,2027/01/25,TRUE,90,2,64932.45,19498,AGT-035
POL-000173,Juan Massey,18,U,Home,1817.7,77711.28,2023/11/02,2026/07/26,TRUE,78,2,177988.33,29614,AGT-099
POL-000174,Wanda Chavez,52,F,Home,4909.87,506845.64,2021/04/15,2027/09/11,TRUE,9,2,166367,77749,AGT-083
POL-000175,Theresa Reed,54,F,Health,3208.47,679312.31,2021/05/10,2026/05/08,TRUE,47,0,192409.44,61337,AGT-044
POL-000176,Peter Thomas,64,M,Life,3120.9,162577.49,2021/08/20,2028/10/04,TRUE,76,1,179077.16,77796,AGT-015
POL-000177,Mrs. Terri Foster,31,F,Life,3866.33,324440.69,2020/04/04,2028/03/05,TRUE,42,0,187999.3,06923,AGT-038
POL-000178,Tracy Stephens,20,F,Auto,4152.96,427944.79,2023/08/07,2025/11/14,TRUE,51,2,174573.63,29993,AGT-056
POL-000179,Victoria Bates,18,U,Health,3454.15,923554.47,2021/02/10,2028/08/03,TRUE,56,3,144808.74,69364,AGT-021
POL-000180,Rodney Mcclure,22,U,Health,1076.43,993592.26,2022/10/23,2027/06/23,FALSE,51,4,50646.65,62496,AGT-059
POL-000181,Steven Ramos,43,U,Auto,2022.2,92665.73,2022/05/08,2027/01/05,TRUE,70,0,68907.35,28951,AGT-001
POL-000182,PAULA KNIGHT,72,U,Health,4676.38,772957.53,2023/08/26,2024/11/29,FALSE,20,1,58290.85,80750,AGT-093
POL-000183,Lee Washington,31,U,Health,1510.77,403137.86,2022/06/06,2028/03/02,TRUE,88,2,128645.44,63369,AGT-093
POL-000184,Jimmy Heath,56,U,Home,2174.75,422835.28,2021/11/16,2028/03/11,TRUE,27,1,110651.59,74420,AGT-034
POL-000185,Andrew Smith,44,F,Life,2444.35,766551.72,2021/03/05,2026/08/01,TRUE,38,0,176074.4,78020,AGT-065
POL-000186,William May,26,,Health,2477.32,922505.11,2022/12/29,2026/12/13,TRUE,72,1,191481.12,45347,AGT-098
POL-000187,Melissa Stout,32,U,Home,3258.23,953382.16,2024/03/28,2026/04/10,TRUE,65,1,92874.78,97677,AGT-023
POL-000188,Jacqueline Hawkins,32,,Life,4743.84,598266.46,2022/04/26,2026/08/16,TRUE,54,2,111143.1,46621,AGT-065
POL-000189,Rachel Brown,43,F,Auto,1583.12,389265.1,2023/03/08,2029/03/14,TRUE,24,2,194872.94,70983,AGT-014
POL-000190,Tina Barber,59,F,Home,1046.76,798171.63,2022/02/08,2029/10/07,FALSE,47,0,69723.01,93261,AGT-081
POL-000191,Curtis Long,77,F,Home,1388.62,288451.31,2024/01/07,2026/02/13,TRUE,71,1,162630.34,10484,AGT-039
POL-000192,Paula Tapia,30,U,Life,4491.16,585870.33,2023/08/13,2026/09/17,TRUE,83,1,60543.18,30166,AGT-082
POL-000193,Sarah Williams DVM,68,U,Auto,3406.15,390649.54,2020/04/28,2029/09/25,TRUE,86,2,142662.82,13254,AGT-065
POL-000194,Shane Cain,49,,Home,1786.58,673799.52,2022/11/06,2026/01/23,TRUE,63,1,65650.81,07499,AGT-078
POL-000195,Jonathan Becker,56,M,Health,4171.76,278378.97,2022/09/01,2026/09/20,TRUE,57,1,179072.01,29622,AGT-026
POL-000196,Ann Novak,66,U,Health,4376.16,232013.3,2023/05/08,2028/08/26,TRUE,55,2,121066.03,44650,AGT-020
POL-000197,Theresa Braun,69,M,Health,4309.31,922327.13,2022/04/27,2026/05/07,FALSE,60,0,53468.06,53242,AGT-048
POL-000198,Dylan Kelley,78,F,Auto,4635.17,146713.5,2023/06/20,2026/02/22,TRUE,99,1,60386.45,61358,AGT-098
POL-000199,Allison Friedman,49,U,Home,1635.08,530660.01,2020/01/25,2027/03/12,TRUE,62,2,108892.86,63274,AGT-021
POL-000200,Renee Johnson,21,M,Health,3897.69,259810.14,2023/04/19,2026/08/16,TRUE,30,3,193088.36,79161,AGT-070
POL-000201,Tiffany Brown,47,M,Auto,2572.43,86983.47,2024/02/06,2026/04/01,TRUE,93,0,158535.59,10612,AGT-100
POL-000202,Stephanie Jones,54,U,Health,4288.99,84217.88,2021/09/28,2026/01/26,TRUE,22,0,107895.74,51847,AGT-068
